trial LL w1 w2 p1 kappa 
0 6166.779168637637 0.002796405110639649 0.15540759407333551 0.5180542580926837 1.0001749440095244
1 5998.900850681068 0.003831243226258069 0.14116781608026996 0.5183128439979897 1.000168552856726
2 6231.996232804844 0.1315039931707958 0.004503907515831381 0.5213108988150992 1.0000218664449556
3 6514.541803570895 0.16855621605108967 0.00533955776548814 0.5611569872306209 1.000000919865968
4 6683.807871441837 0.18116377781315915 0.0050664646504539465 0.5674575048570896 1.0000091005867382
5 6867.746905646765 0.21108663115913479 0.010461960838591917 0.5938278706935717 1.0018402773663786
6 6005.518662657134 0.003932903743675715 0.14280566525390015 0.5364194387192609 1.000379689366539
7 6635.69006641386 0.17239101277534763 0.004772061504681675 0.5713752534732132 1.0001347603374104
8 6638.060748203765 0.19105323352583078 0.008728198510466637 0.525294527460377 1.00000184198781
9 6182.110368862212 0.010241566788919342 0.19514893819058732 0.5590309147302314 1.0001038410409593
10 6499.73390807437 0.17828733338247996 0.007181057414738713 0.5181329435878418 1.000314063775657
11 6201.603954629189 0.13823554812374358 0.003001658590787551 0.5407627166651205 1.0002165867764692
12 6527.660582875383 0.19639502096167616 0.011039805500514841 0.5024734473659896 1.0001167912790014
13 6413.894851840148 0.17284664213716175 0.008799715905177922 0.48524069481963655 1.006562323134159
14 6446.060723208202 0.1773774425370513 0.002668355977117856 0.594296488910385 1.000109320113346
15 7006.878210701633 0.01604511850145508 0.22952103457454656 0.4509822024670408 1.0000207009666153
16 6519.903561918704 0.16284763155430487 0.008334148444927641 0.5291437639785171 1.0000009528676421
17 6587.896822506582 0.00882910908036245 0.1939268881342498 0.49030432799026163 1.000050679793574
18 6872.014874053911 0.013262725585002307 0.22159987233808243 0.43197085235786575 1.0007318950223867
19 6705.111962433497 0.1955404496760763 0.0073514161573514075 0.5274154445939953 1.0003203384511512
20 6396.586200373406 0.0034033887077921598 0.16290307096031995 0.49823060769587413 1.0000059490450548
21 5847.118432681032 0.003930766194332763 0.1381220385224501 0.5558050364901655 1.0170172255239796
22 6236.678015370068 0.16171155310196478 0.008041836220902916 0.4512244028266196 1.0000118337979773
23 6306.275779684193 0.005711956525718367 0.15499126076597733 0.5222729609314892 1.0008759204937367
24 6473.839983126078 0.1606688052894344 0.009621035162466781 0.5508787875150363 1.0001337544562656
25 6565.3002514544005 0.006511485733166237 0.18879470728111664 0.48586528910197796 1.0002503345723104
26 6379.461555069019 0.16501082554800373 0.006915323099687857 0.513528666054773 1.0003658981411856
27 6652.082480770426 0.1865896025285865 0.008062971376522633 0.5739149024201133 1.0009855755409682
28 6528.765231086303 0.19312125096855567 0.00853165852549658 0.5284046888877065 1.000082594180886
29 6693.2345179807 0.18172470989264686 0.0058183130241418034 0.5958623184441411 1.0000022137051523
30 6499.7772456938355 0.16768105314676357 0.0036704347678740076 0.5699504206362926 1.000033852705095
31 6550.915944172844 0.18646261488892055 0.003064549077844795 0.5582702862335581 1.0000058054271574
32 6554.159663679069 0.16805761520851634 0.006098739763970769 0.5090752050557786 1.0002584031853936
33 6411.3160044740725 0.17337890367556602 0.007651113086734141 0.5036774758808322 1.000000219768577
34 6168.7790946975765 0.16404700877880285 0.007262442030857249 0.4570031507925849 1.000009415399969
35 6469.495627752963 0.18102131136125282 0.007402218295088453 0.5131086452219266 1.0000009849217772
36 6469.136689772842 0.16877239081318132 0.006139924546067576 0.5557288686877319 1.0000010024581352
37 6547.801089350609 0.17590039167816862 0.010620018039625315 0.5299540212999465 1.000001796914832
38 6109.6412140986495 0.004580503200656696 0.13996418700469326 0.5385743218311329 1.000940800073433
39 6297.169370477614 0.003636636145613287 0.1406592870390748 0.43868981550579195 1.000250343715776
40 6936.400135023218 0.012726764746520703 0.2204438552892486 0.41362217293781095 1.000001142500519
41 6229.320191925841 0.009597350183418585 0.16984280101907312 0.5712105636878659 1.0000025140324786
42 6308.1929714761645 0.16293753588653376 0.004815026842902014 0.5148619944642671 1.000001556676344
43 6290.75440278858 0.1681237058425096 0.0042136781302147515 0.5679342845348216 1.0000023360287125
44 6369.101522129545 0.15726217554230917 0.006700255774056691 0.5129649330262198 1.0001440462157287
45 6299.605876712709 0.007746970212345687 0.17602656643167455 0.5415707195993341 1.0000017298879855
46 6231.716018979236 0.009481940600337127 0.19946156375458912 0.553730535320992 1.0000038802665245
47 6239.870644678471 0.13397799956844225 0.0031402280097750155 0.556341819436224 1.0005560479105682
48 6165.9431631378875 0.013824600916624512 0.17956442714105278 0.6281781657509576 1.000025293151189
49 6752.7775192790095 0.16752032117857954 0.007223987562814094 0.6184058653281238 1.0000023559030373
