trial LL w1 w2 p1 kappa 
0 6691.603818708376 0.01894885264419346 0.3572177488382236 0.5732834352778703 3.438206703444625
1 6906.232971075902 0.040220870399781984 0.3656498016852154 0.5716801809803238 3.327983068653809
2 6807.607898553656 0.019785065696002465 0.329972509956364 0.5181209124613152 3.4403894193689855
3 7045.281975863512 0.016564206608092547 0.2948960510580671 0.48194861077108475 3.101759781622599
4 7044.011749453236 0.022906128421311702 0.3075024433774406 0.5012594363716182 2.89593928396422
5 6563.00526698869 0.019952552724624296 0.28136404477541854 0.5425158213562196 3.4144655890087696
6 6862.514825824885 0.02257857029400116 0.3030382601701516 0.48585315708487764 3.1824633539007796
7 6798.149079449477 0.012212103857886526 0.3097597291423953 0.48705604835096294 3.224806350499909
8 6646.005115977427 0.01419756774750275 0.3324109558515691 0.5357048489263734 3.908549090393184
9 7201.13158473061 0.032697611140648064 0.40350303490515305 0.5266185630734759 3.329518395797565
10 6639.6444630693295 0.02013752707747428 0.3372462679896761 0.5809602511788051 3.632121065338606
11 7077.885901104869 0.021725230606656647 0.32871043587115395 0.4703486309618182 3.4825688493650033
12 6884.353281541594 0.02733492966719819 0.31087020131274246 0.548634250724988 3.3981055129727675
13 6733.443266982051 0.01751830426058635 0.31971913147483394 0.5619081444114948 3.3162091065390427
14 7197.679318030552 0.025922645285961304 0.34433459915262604 0.49663994113230725 2.9549662194192265
15 7031.792087234669 0.03254407772363159 0.3636466199671266 0.5714252873994046 3.0387375061664574
16 6906.995128014747 0.024594418242787214 0.3122680480028632 0.5298076481412785 3.0104196424141865
17 6826.087695719916 0.030453944121299942 0.3230635104451103 0.5562800693538861 3.2754873815370216
18 7125.790080332333 0.019061839768923908 0.31482766461732986 0.44385951783190863 3.1659927783237687
19 7083.270377767026 0.015407559970436531 0.3329986902168044 0.44963875337723064 3.1684603377958553
20 7105.683281250133 0.03472250057034802 0.41581557874485187 0.534114747003201 3.578459281781469
21 6833.853164147813 0.012404756219339131 0.26201738344967984 0.489568564708316 3.1109320962514087
22 6947.764144655152 0.024430209920070507 0.3111106694385668 0.5914922482315862 3.021619797639709
23 6799.767527252771 0.013553642290281378 0.29830827527844755 0.4826455411243303 3.3458957693839837
24 7309.590123619753 0.040298244779324234 0.3738917543548625 0.44213381248192973 3.472069463944834
25 7148.541916153836 0.019405291850115216 0.3490992234723712 0.4369814234689923 3.4093562672624746
26 6877.0111651795305 0.0414652824255142 0.3621534282154821 0.5981900665496706 3.2719445241871203
27 7111.697998892615 0.019717112334664298 0.303443015822762 0.4672449717096421 3.050295790647331
28 6928.681549039233 0.03722770580818985 0.3917469229676218 0.6210831400000818 3.1225918666931785
29 7054.261562734991 0.03960120743333859 0.38248725064901473 0.5684500580613676 2.9630984748116083
30 7305.846652698171 0.037997448790025756 0.357815657985857 0.426449607870084 3.205488476552112
31 7228.158660065821 0.029754691999381473 0.3860903752622652 0.4711661878182534 3.703853720147212
32 6898.881181456481 0.029683299134832804 0.3745146516228518 0.5210211191644867 3.3891522277378874
33 6804.3316902285505 0.015956517361462624 0.27612500296947756 0.4917250516466276 3.145885423261748
34 7021.610222713847 0.02515110481133822 0.3711744537558183 0.5349044213100291 3.6937074896809516
35 6931.76204894713 0.01947394291927223 0.3478977761700029 0.4624678161289409 3.7408790262611187
36 6956.982831253741 0.017733184521194788 0.3628765771718909 0.5219761643630902 3.3587765255032775
37 7015.898932990224 0.025005803285384366 0.3692150129812131 0.5597089019265468 3.3836316733118412
38 6876.3377053304475 0.014765486456660669 0.29496539202980143 0.5332561758775082 3.274964071168162
39 6834.570582312049 0.024047581141830303 0.3010372371124371 0.6121729697384982 2.94087360344657
40 6883.4453414068485 0.034126836731760125 0.33264933264452096 0.5770382605965418 3.353973610676057
41 6999.313206823302 0.024447983462011116 0.33912717082534927 0.5510074154709156 2.9197025390394655
42 7025.026303214284 0.012352427467362561 0.3209500364199244 0.4604449947665846 3.071218078646013
43 6809.396719269591 0.021778601109238516 0.32672388872557 0.5595495203832634 3.3900443787858485
44 6798.067272929084 0.019218068661487397 0.3172901691559091 0.5111468375037702 3.187609474719537
45 6853.64525879906 0.032067882342207414 0.35203205450661607 0.5874958639345557 3.357165521708813
46 6918.611164874005 0.027562864675198504 0.25283020965332603 0.5101688479004399 3.1201437810264214
47 7255.480068747051 0.017112406548867514 0.35679461214337005 0.4255094914646402 3.0948148695177666
48 7277.121723227369 0.030089336098217536 0.3812892338761653 0.4968412730320157 3.2551171239839576
49 6950.294959307563 0.021784330890226883 0.3052161601870447 0.49825097590919637 3.194235376279294
