trial LL w1 w2 p1 kappa 
0 5339.774434331108 0.07931319150039007 0.5432543171611875 0.6612133821962821 4.226870929137027
1 5365.8643741367705 0.07819317173007455 0.4371567071689185 0.7098963335303399 3.7008595888762965
2 5644.042890701514 0.06111864967237755 0.4151907577470813 0.6025871769759025 4.169687339818192
3 5482.539489711878 0.04405780453244363 0.38742714472350076 0.5257262756659222 3.6186921800880767
4 5435.565813131743 0.04610211729619784 0.3939342968529246 0.5380430171513216 3.8579228057011816
5 5518.641294776558 0.051367812732493 0.401645048071813 0.5553585688891501 3.7902571783323444
6 5663.630512061514 0.06463031157511265 0.4474368893340064 0.6086822670364448 3.3263400256966307
7 5510.668155692736 0.06139275109619424 0.4977576031354336 0.5947270397726349 3.899190442520939
8 5575.438239656682 0.08164941429708342 0.4855348660729763 0.6162991165852627 4.136298907201149
9 5554.846609284182 0.07616569943245141 0.5513284172962012 0.6321073676710159 3.971155738947718
10 5320.504149530154 0.06761765634823075 0.4993087588676082 0.6226900710917491 3.695184130845477
11 5348.015426820618 0.05398477870395419 0.4323972513227767 0.5838330895927188 3.785699618252229
12 5435.271433745259 0.07327548159687582 0.5566504208365393 0.6571704856504308 3.7296193509502134
13 5734.06838127453 0.0673386339863557 0.5205582573356884 0.6631489831468765 3.5153936078394548
14 5382.092601740456 0.07105507432427806 0.47383660983283166 0.6702767956826182 3.782329326600205
15 5474.67152597392 0.07380405649006759 0.5336580857347117 0.6738662077123185 3.9971097251666725
16 5524.493639977409 0.0948491063593705 0.5807559748803199 0.7310040376710564 4.356198425333042
17 5447.783480690932 0.06695665506193685 0.4325997392718019 0.647117332837129 3.610989773745348
18 5664.528213793637 0.09613158501083394 0.464832450483699 0.6700457852362607 3.9836231566982057
19 5532.780703186387 0.061134395271184576 0.44296319486834035 0.6398346191142381 3.797104340121037
20 5505.1123578893885 0.07157110405854272 0.49977896752492157 0.6792226622223123 3.269680390554469
21 5500.549493495067 0.048090935622168984 0.4584167188611102 0.5612359450515406 3.8630707673855214
22 5734.068189314126 0.06733844111208012 0.5205499111280688 0.6631479213382274 3.5151050814375857
23 5482.42099366113 0.06127911125799258 0.39149675504857867 0.5653477541344131 3.415230629309679
24 5570.944620169609 0.06033103531697364 0.4446689371520571 0.5724435559673707 3.588182390474491
25 5685.737846565819 0.09480239466151404 0.4929112654058142 0.6454569306180437 3.228981131269547
26 5561.002249967396 0.022940514665084826 0.3609313286283563 0.49662891919889496 3.938655128779742
27 5590.169260811689 0.09660530336041936 0.5850967960476751 0.7261026765508005 3.5761810764062507
28 5367.57023572982 0.04257668856003158 0.4161851026617699 0.504129784215093 3.7314563657604665
29 5610.467793553366 0.05402094516515669 0.41190246831302285 0.5468537268499906 3.995020999786699
30 5757.350803615814 0.06517492301332967 0.537012078010347 0.6261925563585112 4.23367446951333
31 5627.281092841098 0.09056779230035246 0.5698624542644453 0.6881984778081518 3.571024519646351
32 5433.862105786737 0.058318899703950794 0.407491535068792 0.5952136698337537 3.703118917696555
33 5382.092606516079 0.0710530684440785 0.47382574016938195 0.6702723285691142 3.7821404498795337
34 5458.404278528838 0.04420123707942797 0.3849992264731098 0.5797264265828523 3.2553662222042465
35 5445.945568268281 0.041454303339063525 0.4387771099523955 0.511916617404792 4.508918933092133
36 5688.798790412949 0.08106430622974409 0.4972387586323591 0.6451335060475757 3.7078187485657703
37 5609.245509738319 0.0571248002307664 0.4189370120719421 0.5817479692914821 3.6451870353580174
38 5635.901502582509 0.06811937518820776 0.49080710887691636 0.5701677672999516 4.210445936317977
39 5472.2682050246385 0.03371053432359177 0.3902539277016985 0.501754690263693 3.9273107767456867
40 5622.579350588123 0.06445701260375956 0.4366851083636804 0.5946412561821762 3.8417835221891226
41 5590.280344285786 0.07792606370041566 0.5164385395712126 0.6828995408525387 4.1710550494645275
42 5489.898288920868 0.06751337031367753 0.5472611033008064 0.6515651159539907 4.0424737728471944
43 5360.379446064566 0.05901613342183126 0.45517588417779115 0.6510450067227904 3.7728773540957596
44 5470.7210627891345 0.08303662420575886 0.5441000068510284 0.6607135784693247 3.9651563634565483
45 5413.092953012449 0.05823324231497 0.4618627656744673 0.619164913190494 3.5262833537325005
46 5514.5083515223305 0.09477622000292375 0.581496120064275 0.7304913632776453 4.349178390390297
47 5447.782875921344 0.0669594297199443 0.43260224259884283 0.647131082953069 3.6109233067576123
48 5664.528031555893 0.09613817549065112 0.4648742135439672 0.67008596757547 3.983511508898789
49 5532.780703491015 0.061135111404319924 0.44297437627961184 0.6398409268152812 3.797196425803981
