trial LL w1 w2 p1 kappa delta 
0 5223.446206381245 0.01916158325937272 0.42082592525312257 0.6281818488142642 3.5450760600016773 0.041916109804634755
1 5300.070607082474 0.02955508895731741 0.45681150806050447 0.595490040114445 3.568370554968009 0.060828719757982215
2 5219.943371687552 0.027903835663164688 0.47826285735860424 0.6468389302642739 4.204943607621317 0.04246210800514378
3 5337.784559315396 0.03450663409140935 0.44194363514458807 0.5613146333288169 3.738832039012288 0.00021104686330927303
4 5529.154629648898 0.03356787095011783 0.4642169599403961 0.6174984614785259 3.7121941768228015 0.09507286495660355
5 5135.919179787173 0.041591502614555825 0.4397952712030658 0.6865009476186379 3.566565515771305 3.4749297800971166e-06
6 5340.902456283248 0.009411243248762607 0.36955900811346754 0.4632010874189959 3.6483846876035324 0.08464517362516379
7 5305.95642831192 0.03470385064837157 0.4257617327613535 0.5965871495147054 3.7554875199546283 0.0020021719746159856
8 5137.798424653995 0.037746207383324897 0.49773223063308203 0.6598146958962942 4.252882204367442 4.640321875056139e-06
9 5563.769538101533 0.042076438717160984 0.503245293196714 0.550128769035433 3.487635145859516 9.173103556442886e-08
10 5173.789286387811 0.02559285335908154 0.4381482594812473 0.6324500159377747 4.167011071691942 0.0065946284252923065
11 5564.154166036377 0.015282144749007428 0.4006920886636171 0.5273366141292235 3.2288732891190612 0.1322875935613895
12 5393.659207578058 0.023807424724739994 0.42557850634213895 0.5863043793547197 3.847791121629504 0.09388967334077176
13 5270.694185284201 0.015338107137341211 0.45261397426554634 0.6232129782825404 3.5243905004778573 0.07669429989271577
14 5392.108918931234 0.055133592071318155 0.4852338311318652 0.6235844888430302 3.4741220457436 5.698455905746276e-06
15 5294.403100857784 0.03497124532587337 0.5306270827993489 0.6876146586197831 3.4922892370439396 0.22094910587249253
16 5225.903323078207 0.016993331891302643 0.4019352976988473 0.5755421384800614 3.6308943533064086 0.13236833154079092
17 5306.3576890594795 0.013964983710353642 0.38739233990690386 0.5285991543771493 3.7524541191493506 0.08842102590749883
18 5551.830235348668 0.02507618296455204 0.3936470205871036 0.506478257649672 3.8039539378247142 4.33027424221419e-05
19 5447.147731170342 0.00841688403166936 0.4078947197842757 0.4724008790059207 3.479013955417859 0.053775986817189654
20 5522.124249878709 0.035273671966432066 0.46448498267899874 0.5717895321665136 3.9521792400950466 0.005617067844637802
21 5409.252597515532 0.017678847868805615 0.398882431956816 0.5913677940716162 3.405328235217303 0.08896388130693572
22 5469.369641181613 0.021012762407505995 0.41812757797114697 0.6248259338116622 3.3825906361952205 0.08621198873221465
23 5264.541566230964 0.0230533986669612 0.38408507805620634 0.6591314544321027 3.812226131172965 0.13656400606561603
24 5603.559726574731 0.03826392200824814 0.4630938735287279 0.4870287156968452 3.584807167786816 0.05633394755187816
25 5454.756535294671 0.028581716016766387 0.5088279457544033 0.5877465154157553 3.9823770846267883 0.06894507051461113
26 5214.707565015839 0.0552322919720297 0.5347889814034317 0.7155968446712285 3.6924313849409125 0.12475364397587625
27 5434.163113280332 0.030519146608808112 0.41733759048965474 0.5978379204126888 3.607584880693669 0.029673877301595222
28 5465.665425174857 0.028285247536171954 0.52860214263811 0.6791160224256166 3.6621685380766724 0.14218259607668993
29 5356.352285114824 0.023957757357033555 0.4592203176756942 0.5795966985459601 3.8070334301741244 0.08427450415379026
30 5562.106396216652 0.04699857776174527 0.4957606214836938 0.5078637189024524 3.9019618830975533 6.0516524503347475e-06
31 5501.578377506753 0.029220903452573527 0.5022765158681862 0.4710492159396113 3.815158162989837 0.03332491415146744
32 5290.971451887129 0.04778804528119985 0.4905122158764142 0.6092587074208698 4.146797929975794 0.015310198947178225
33 5150.41336652697 0.01701909894556097 0.36911243509726405 0.5852435904813236 3.9182067760475405 0.03158180097575911
34 5391.257183006775 0.03221641627571908 0.4637544795576912 0.6065155522207748 3.6049088043455915 1.6989555569630427e-05
35 5363.236890109091 0.016588053574503558 0.4373678336350197 0.5275140311973086 3.9744445799138832 0.05792003267864455
36 5510.429645602183 0.013714508938737935 0.44181557470922983 0.5503499575984171 3.565265537895862 0.034781796011173496
37 5390.099831135522 0.02201840879549795 0.41258458619900557 0.5511965288507163 3.660258188087293 0.0462134777562958
38 5268.42049876032 0.018058324943095713 0.4217063094461537 0.624795657536239 3.4793098428677185 0.0858119797822697
39 5286.695776950118 0.02127067197368936 0.4710249761203366 0.6683937610397341 3.311627211242987 0.13283876092389243
40 5403.821902550331 0.03761110742147932 0.4206189792796746 0.6206135669172319 3.457092242899581 3.437526690659225e-06
41 5374.132523154569 0.021556666113865534 0.3839635253160143 0.5492929448400198 3.1443163278604165 0.041061208416148805
42 5374.835377437268 0.03629082636463442 0.5436471662479021 0.5962879465009032 3.869565457719874 3.545610013528787e-05
43 5305.805225149713 0.021610752725652733 0.4721720581645318 0.6173516631806402 3.6380078391763977 0.14881871905138977
44 5360.204555598018 0.01162901606172118 0.429608577694177 0.5744752305150121 3.6721267368891533 0.1716546614130073
45 5340.042930492621 0.032556085597278496 0.44366689561074624 0.6129991134272684 3.7150582508087644 0.00792588432762805
46 5430.8140174306845 0.03967703190549266 0.3647783569415622 0.5758857863011194 3.146108644678922 5.940031388692732e-07
47 5598.2860206856785 0.03149734191674739 0.5594397081859506 0.5615058556502466 3.8057157199388185 0.14740328226760097
48 5671.870473584924 0.014870939456125106 0.5144688742004229 0.5411065861317549 4.019910320016671 0.12982695925851234
49 5379.02217356588 0.026540439509245183 0.4161879107395463 0.630530962362551 3.52258196872974 0.057892085683905345
