trial LL w1 w2 p1 kappa 
0 8382.857111883299 0.29637339979324395 0.7942077466448132 0.402255506055254 4.06611704634609
1 8204.765462666148 0.283043459766906 0.7929028898097323 0.46855800639515816 4.444657624709694
2 8115.515031138077 0.2538472744822352 0.813004366362783 0.3733450468348164 3.8880357775160768
3 8417.761802043035 0.33151534825470924 1.0092533493012399 0.5132223823948042 4.124566310030709
4 8510.528913116821 0.3435946220380261 0.8767225340824455 0.4455305339552464 4.598217193542362
5 8365.30390413064 0.3407635671631619 0.8102746539315642 0.4245710148909212 4.587438173705391
6 8274.260332154226 0.30432518706038914 0.7988702163306652 0.27846390153330414 4.225919263451293
7 8308.6628843776 0.2539643562956636 0.883225088216422 0.363262160491419 4.264097562577949
8 8105.042275296889 0.2956196402361621 0.8384429604492663 0.4139878752361184 4.3869989921078005
9 8418.464933956053 0.23336150455048874 0.7350434144855587 0.28334540672695113 3.76032388397751
10 8414.657456534867 0.32891482789804055 0.7844967058633087 0.3510773806018461 3.998761214571184
11 8500.714843997028 0.20946696549591381 0.800437984044742 0.2154926381049679 4.539501091798263
12 8386.163711750145 0.3998105838229382 0.9485327390251446 0.6371000847628769 3.9557983490286053
13 8242.899741671912 0.3115033363502336 0.8973533912539952 0.3806413645217645 4.371357944693254
14 8543.376459543762 0.26435872085667195 0.7565351721418438 0.33518711921433025 3.6643994832129105
15 8449.82934792405 0.3752031834753914 0.9315253133026857 0.5660048915651946 4.2737980138890554
16 8292.431133436412 0.3352576622201795 0.7879511791743581 0.44570846823917026 4.325150345919446
17 8368.922171463037 0.37943305043069975 0.8721910791347672 0.49972863682337787 4.511277836293531
18 8321.744215887262 0.2559506495415098 0.751203432934375 0.339122326365771 4.667988976198756
19 8386.085332483191 0.2999291339394947 0.8815351388628074 0.41535290805883046 4.619367605486423
20 8326.269397817825 0.36553794360269587 0.8649406265631434 0.3470415865400287 4.410288271796502
21 8369.775783731322 0.33470046807343623 0.7973235028558193 0.4685994575572447 4.022934591716852
22 8512.170787457042 0.3661520946033268 0.8588634303826431 0.4613319307116214 4.596197198232302
23 8162.745204821431 0.27593254738829587 0.8224777447539385 0.3456734133881657 4.525720181733484
24 8186.730519737274 0.24251485549870389 0.7455604350565248 0.3361326459758335 4.174261688948665
25 8219.478432429096 0.24938538595684454 0.7628197228678415 0.28461970666259756 4.008201122454596
26 8307.954849900305 0.3072820880356638 0.8779250239237159 0.47887241020285015 4.620619036883775
27 8376.980956430041 0.23955394150090326 0.7526968351548177 0.3088130807309398 4.301617959446696
28 8356.055709688022 0.32893139305704194 0.8978218937138004 0.4487537084068261 4.419631389659198
29 8259.86039513937 0.3417164627072219 0.9375385073532095 0.5583501119159944 4.140866140889605
30 8271.908042978512 0.20590428377175887 0.745202388564983 0.19175668061960327 4.777988620607205
31 8130.659339423516 0.324760378685595 0.8408227665229232 0.3934305383058658 4.0646838070634415
32 8085.191515767825 0.29475535806347897 0.7983112940054343 0.3033114926574375 4.311729601636614
33 8398.74014685986 0.26016742521196795 0.7777357971586938 0.2965711533940329 3.7445313109694816
34 8195.822616467265 0.2733453969269631 0.8295531061877646 0.373692781646324 4.2153238787063545
35 8322.547865360599 0.38042947262435106 0.824328675956836 0.5346942037517803 4.5499768053078435
36 8478.23526590048 0.33442454897013046 0.9422961429092324 0.5150229439877821 4.208153857902951
37 8255.210079281153 0.30273875520722043 0.7571292633005684 0.3816644678567642 4.291245214443683
38 8399.584535732498 0.16397187841754024 0.6608864433667837 0.21283887907517243 4.178314874691742
39 8462.818945546636 0.19585184495610036 0.6801688166577105 0.1905796594035001 3.732549621662936
40 8410.453681503473 0.3086636019339172 0.8218590599163476 0.4668739021978798 4.22718042007138
41 8368.268317635391 0.268242750614544 0.7510947316563453 0.39641533964068315 4.025526213024031
42 8449.454295980438 0.20884088070728926 0.7191320454370616 0.2984969171986676 4.211837542709893
43 8040.5557360072635 0.24513458601151975 0.8055866435854764 0.3447125529251961 4.1336448318515515
44 8234.762420597168 0.2722297919874276 0.8314208887408638 0.32439546105654027 4.156023486762902
45 8495.278873744626 0.28806264308490653 0.8257665932481946 0.40552863167754455 3.8621067211771054
46 8412.095724027762 0.21446054539701337 0.7120022526533685 0.2595874179980313 4.065917394108932
47 8397.94934525328 0.2817655743693079 0.8205133925562742 0.4542817790844535 4.06471703360695
48 8533.842479236495 0.3411771045252216 0.7312310733200832 0.41427086762157755 3.970162737633291
49 8490.314583764493 0.3153568077524886 0.7869404850702998 0.3907850880984468 3.9092816577516145
