trial LL w1 w2 p1 kappa delta 
0 5789.660208702594 1.0294790684102813 0.2729204308670986 0.47833491871866 4.736348139265148 0.23751311295271837
1 5954.90916673107 0.9376598601655799 0.3200381207075907 0.5088502642917979 4.46559441525513 2.1732780411068476e-05
2 5945.08103765675 1.035653293756276 0.30250435044117147 0.4520863768546232 4.537463542867887 0.05891662675316339
3 6172.372523515443 0.7778471116371372 0.20091167192413525 0.6966911125301625 4.413002585750215 0.09431699251829694
4 6263.7277235196025 1.0354493992479936 0.31081772643844735 0.5282076922373959 4.774364176797385 0.2990065266868551
5 6079.104098889762 0.9164379528397438 0.2849074958114857 0.6544464859001619 4.602461392981327 0.2928037193057125
6 6090.220262397268 0.8504690446983467 0.22696468198801534 0.6621800432723279 4.27295041001185 0.24329099607896157
7 6016.319994502348 0.9258421520764678 0.18337051091793435 0.6349588485005987 4.342223205700915 1.5928936243368466e-06
8 5997.399256537708 0.40126409745801883 1.1114780099854755 0.7049339387715322 4.117792240674101 0.08625084767309552
9 6068.016567941826 0.8045018513203673 0.1534301852778759 0.7635384694926712 4.33126264425725 0.10300359842542073
10 6127.1979040298975 0.971092622565441 0.28190365504647213 0.6722476585120016 4.609646015294322 0.08922225104411846
11 5891.308478051599 0.9726574360739902 0.25406368481809893 0.4432301471104088 4.292472301451664 0.23982809505042763
12 6019.8869555318715 0.7454836679921502 0.15231375756880877 0.8032359350600387 4.182656266629498 3.672377540480877e-05
13 6157.989995318649 0.8798896211355913 0.33950879211281426 0.5261852771980757 4.463438868148518 0.023878572418652932
14 6241.587975509866 1.1568303382804976 0.3545948304928576 0.3922217048176747 4.82293197703003 0.4648712885102197
15 6076.467385831517 0.9155602778198543 0.26331092223138675 0.5982060535399012 4.0926015576447705 0.18046789415574632
16 6012.489157383308 0.9064927748082449 0.21580818983421118 0.5062099391095312 4.557660863139252 0.4481789893465151
17 6221.0235490632995 1.3823240343108083 0.4208239674511456 0.296806559187288 4.423537044712045 0.3100658033435341
18 6111.835303902409 0.8177515005763544 0.1886986239890551 0.6381750277001155 4.604275289731349 0.030983847801761732
19 6086.80265247699 0.9539724346079808 0.20219385111640897 0.7347738223422472 4.991290438138463 0.07460457860285798
20 6196.153841085094 1.049504035193912 0.4357973370114003 0.3965288180878572 4.250182575810731 1.8136758498178874e-06
21 6225.298242900943 1.288419063008421 0.4123260150035127 0.31009910608381275 4.084808229772139 0.68129051121423
22 5983.637959210321 0.8858785316588021 0.21867135704181334 0.7065694353559306 4.197175961666211 0.029650628693238937
23 6102.143176708523 1.0973513339535241 0.1332072138464095 0.6445485844665375 5.0272250244406615 0.4588686318896997
24 5921.596893196612 1.027789675563365 0.4109662901566206 0.44102544335710286 4.744506356644799 4.944829706691172e-05
25 6072.773374447691 0.9633499396705233 0.22385717632720226 0.5356588894882821 4.289893175900612 0.2943514013017864
26 5916.205409677421 0.8730459033020288 0.2997995779082583 0.5802886018959436 4.372012628620001 0.021161642588516716
27 6106.066680732011 0.9856746881622194 0.26431140513617984 0.5639471438483761 4.611475707884118 0.23969320597574634
28 6182.622013674832 1.098309802392468 0.3111406649026248 0.5164973929442015 4.509834312524139 0.1990870364595242
29 6006.35030057335 0.9998831994751572 0.28378288220494874 0.5245038249902318 4.401097859202778 0.11967576269333562
30 5933.878967216218 1.2661930586155177 0.4660717726736488 0.27929902194718464 4.841142767544048 7.258293570724495e-06
31 6079.976012712482 1.0574641442537593 0.3234752913659817 0.48824740486071116 4.173137710034804 0.17475653591402687
32 5869.518625459886 1.0053441185298615 0.2722546876538649 0.5250387039818205 4.358647803042004 0.11858261272731115
33 6286.391999419577 0.7961162646921435 0.16561107547061832 0.8003722613172048 4.262288509948053 0.016795532744955394
34 5948.93430458913 1.1887719475985272 0.339665193203325 0.49962158715730576 4.554747565459562 0.2623494133281911
35 6007.439566849018 1.2213652217273818 0.5485763858564164 0.30542627112094994 4.388380713191846 2.956667016290539e-06
36 6261.602243577181 0.9564875099084047 0.3748466257091335 0.506426180897546 3.900920218114946 4.0641581377356e-05
37 6025.611429475203 0.8482308048417213 0.343647459591143 0.5235422149187123 4.172403527848843 6.515010163645178e-05
38 6018.0004686588145 0.9794540380232972 0.2555034725069658 0.5351255600654309 4.754700788602961 0.35537500286126783
39 6142.7522822642395 1.0642591542258364 0.1238257973961613 0.6238361997407754 4.581448904381042 0.4568864924909881
40 6153.761804212518 1.0868952535932104 0.2954069990501466 0.5560899931289485 4.875468386040362 0.3479709318670892
41 6028.787229730723 0.8932724732765719 0.1036644079003036 0.7113895524362444 4.4201548453977635 0.18923776614946272
42 6211.675534437884 0.2216648150347361 0.8607280103743179 0.38463606914510956 4.4023946530902265 0.08415168047150356
43 5977.3856718382685 0.8347636732298165 0.0157569140515714 0.8010323733704027 4.238886717202901 0.25565678558286475
44 6193.260868039637 0.9671918212687403 0.28846556550585095 0.5285797239808063 4.069676184663428 0.16171913192262566
45 6319.529941262436 9.362613174419619e-07 0.9136311153722315 0.2961902926721654 3.869515794691701 0.47019218017626213
46 6154.517111355236 0.941754779106182 0.30807956003655657 0.5465249134545006 4.0185982911998215 0.20793349542843811
47 6045.535480693526 0.9141153670871682 0.21538136834614058 0.6241577184601784 4.285917733853983 4.574631772600637e-07
48 6069.262914634887 1.0217813145742405 0.2829015085811835 0.5089828680069105 3.978325294007245 0.24484306525958477
49 6013.748852653257 0.951660286480563 0.1282775859869967 0.7952017961656264 4.610288446032947 0.15489112832367227
