trial LL w1 w2 p1 kappa delta 
0 6165.299101229731 0.0005243664651336417 0.16378896506750246 0.5295936634945098 1.0000440466721892 0.028928874344053487
1 5997.080506683658 0.00047877840067829557 0.15059823317072082 0.5289394585661418 1.0000421957554715 0.044226402034673644
2 6229.439865934186 1.0657996230947136e-06 0.14171022842152275 0.48999508946615683 1.0000054920226227 0.0520493330093722
3 6513.455197922084 0.0019440812936875032 0.17429953804301004 0.4415807570712622 1.0000231588596145 0.027734399481483075
4 6683.809675974707 0.005059023531388391 0.18117901086229257 0.43255825677690884 1.0000454839474733 7.606153565579907e-05
5 6866.527051809337 0.005863449733198191 0.22073503860114307 0.4169509795737857 1.0000955235914863 0.03374878178752007
6 6005.436191089809 0.0030423409729241325 0.14458289187720463 0.5375184103819731 1.0000948077251943 0.011057455629474154
7 6635.435847782432 0.0024297297056781863 0.17580125696003876 0.42975475940662994 1.0000338986420256 0.0170890866096781
8 6636.861157844084 0.005636143531696185 0.1987836933072658 0.4817607856070539 1.0000458181129168 0.02729767351212222
9 6180.563222403657 0.006919755034922587 0.2056354292581437 0.5650754490908302 1.000101129988266 0.03602425155422716
10 6499.717881961276 0.006981195318979238 0.17916906971554378 0.4833372110981626 1.0000156108962404 0.002583972670408459
11 6198.6555720228 3.2025677524716148e-06 0.14892367042233554 0.4799347745113196 1.0000517183635063 0.041814917497224977
12 6525.9874433236055 0.006286365188368865 0.2092329112050236 0.5072419179916556 1.0000058934425344 0.04258161981016604
13 6413.833638483223 0.00812501752177863 0.1743140487080084 0.5164456399804916 1.0004603689595886 0.0069554985001961086
14 6443.370385507477 3.052892338349875e-06 0.19034557131144017 0.43174858400071076 1.0000275285396345 0.03948232144681621
15 7005.910406960995 0.011288276430186569 0.23495480737319277 0.44852674896332356 1.0000052157643367 0.024927917234555716
16 6519.904061276414 0.008322119787014566 0.16287024016820323 0.4708786688397194 1.0000047652410984 0.00011827322630910305
17 6587.493322825655 0.007692982170105691 0.19773593694173516 0.4935998569438582 1.000010148789264 0.009436475457629772
18 6865.439456712548 0.0025079818257480817 0.24153314166153103 0.44142431243694474 1.0001837276104615 0.06699393526930864
19 6704.702928935917 0.0044582528326758955 0.2009999229561394 0.47383638274896334 1.0000799321957674 0.02248109657173872
20 6396.586062327673 0.0033441559638394095 0.16311387063622326 0.49845334499475547 1.0000297340736157 0.0006094800141435502
21 5838.7409702536825 3.9912096418027433e-07 0.16565089703238903 0.5995589213359841 1.0072387639746172 0.07638908465414279
22 6235.326296345097 0.0051101093509062475 0.16987437041261838 0.5550868124089119 1.0000607436165319 0.030698640095361288
23 6303.009765776571 0.0005233684603582622 0.1666448139890191 0.5279961190082156 1.0002218224018131 0.05060774173588931
24 6471.048019457553 0.0028764682400408536 0.1737983202299153 0.461230016732435 1.0000333352847919 0.06379795970620808
25 6565.297011533128 0.00647310261680011 0.1888825024760831 0.48594798726858995 1.000062704231713 0.0003339887210076244
26 6379.450957122584 0.006432784325787963 0.16577213831545218 0.48679730661460524 1.000073577684059 0.004571345001842592
27 6651.683123734453 0.005816271923462173 0.19153959446157845 0.43136482238606305 1.0001986721224008 0.020285908707051055
28 6526.565028119035 0.004307557346691094 0.20546820174828678 0.4835286627737776 1.0000206024462495 0.039061368419331326
29 6693.046761945227 0.0042699706618907615 0.18575373650833002 0.4115626111100682 1.0000022244179123 0.01666267994839124
30 6498.760643257274 2.7950075283014663e-06 0.1752828237732895 0.43853184366315756 1.000008432213761 0.033894504572873164
31 6550.291061655949 0.001094211495853328 0.19224255128249623 0.4501782901459447 1.0000290007453072 0.02053288323818177
32 6553.218875518606 0.003787647325439966 0.1745882721665685 0.4985407508319333 1.0000644836624677 0.02387253820995568
33 6411.304719016061 0.007089050453212473 0.17430758034000446 0.4965651586638885 1.000027497808827 0.005141547510760933
34 6166.495552746113 0.0028045143402789666 0.17628335207446985 0.5505783427420887 1.0000094347552553 0.049383063068229364
35 6466.479442442808 0.0027564752880292077 0.1978649483786998 0.5049272719220361 1.0000248788150126 0.04818729830070195
36 6468.942071741461 0.004581050676282754 0.1718138539054152 0.44759490921701434 1.0000049964076416 0.015010134533818303
37 6544.486903889063 0.0016923187147584733 0.1888406680777449 0.47418344331712137 1.0000088881692055 0.06934900670187967
38 6108.489246958767 0.002427429514419925 0.14674647683901496 0.5455112366532804 1.0000474553015344 0.026446545101391723
39 6293.62651587942 7.525875369518561e-07 0.15581499499523105 0.4680750364187065 1.00001270114436 0.05559065241730326
40 6935.472469360569 0.008932244172239716 0.22705882047607615 0.41790197449917743 1.000000231243588 0.02493029994180738
41 6229.322149543755 0.009592267979788214 0.16985631915406113 0.5712102063195036 1.0000628365706405 5.916123576005799e-05
42 6307.257691076653 0.0017641020750500838 0.1694753816993251 0.489230643062593 1.0000386538129156 0.031559389435955716
43 6289.353224100166 1.7342465016056258e-05 0.17803321530062158 0.44571274749539014 1.0000459759251032 0.04502457281682845
44 6365.021038665966 0.001722580821577974 0.1739189888522502 0.5060434753410972 1.0000365085889995 0.05502813731973482
45 6298.033532041169 0.0051547639469588175 0.18573893926352797 0.549473002999362 1.0000435405233783 0.0291038728874074
46 6231.323739596545 0.007846970861985542 0.20476711063217234 0.5569599574093833 1.0000193760025742 0.016022066774470965
47 6236.427301413855 9.326002991214069e-08 0.148122306172174 0.47633909759473464 1.0000058126630902 0.053680850704171786
48 6163.745805071214 0.009409300088199674 0.19687513047579944 0.6378604755050871 1.0000063595713087 0.0491382595912698
